Date,Time
7/7/2010,18:10:00
14/5/2007,06:50:00
26/9/2007,18:10:00
19/6/2007,07:30:00
10/5/2010,04:43:00
13/8/2009,09:54:00
9/10/2010,23:53:00
27/8/2007,17:28:00
26/1/2009,14:08:00
5/10/2009,06:40:00
18/8/2010,13:41:00
3/9/2007,15:19:00
17/5/2009,14:59:00
7/12/2008,18:32:00
24/9/2008,07:03:00
7/1/2007,04:08:00
29/5/2007,09:14:00
26/9/2010,02:12:00
20/9/2007,14:40:00
30/4/2008,18:50:00
10/10/2010,18:10:00
10/4/2009,15:38:00
25/1/2007,14:39:00
25/9/2008,18:54:00
9/4/2009,17:32:00
19/3/2008,12:17:00
10/3/2007,02:10:00
21/8/2008,01:22:00
25/2/2009,12:26:00
11/6/2008,18:13:00
25/3/2009,22:10:00
19/8/2009,09:48:00
4/10/2007,18:28:00
18/2/2009,00:59:00
21/6/2008,16:07:00
14/2/2009,01:46:00
10/1/2009,15:01:00
4/1/2009,16:55:00
17/9/2007,03:02:00
28/5/2008,08:47:00
5/4/2010,00:04:00
10/2/2009,22:38:00
2/10/2010,03:03:00
17/12/2008,02:16:00
8/7/2009,03:35:00
15/7/2009,04:30:00
2/5/2007,21:54:00
29/1/2007,20:52:00
30/4/2010,05:56:00
29/3/2010,15:09:00
29/5/2007,06:20:00
17/4/2009,08:00:00
20/12/2007,06:49:00
29/6/2009,21:35:00
13/4/2008,10:52:00
6/7/2008,03:44:00
17/9/2007,11:52:00
1/2/2009,11:58:00
16/12/2008,02:47:00
1/9/2007,07:39:00
28/7/2010,02:39:00
10/1/2010,15:32:00
7/9/2009,12:31:00
4/4/2010,19:37:00
27/3/2008,15:31:00
15/5/2007,06:41:00
16/12/2006,17:44:00
14/7/2010,23:29:00
4/3/2010,12:22:00
24/10/2008,20:16:00
7/7/2010,14:07:00
5/10/2008,23:06:00
18/10/2009,05:08:00
27/7/2007,21:47:00
12/3/2010,07:03:00
28/5/2010,05:52:00
9/1/2007,04:35:00
15/9/2008,12:02:00
23/5/2007,13:13:00
3/1/2010,01:39:00
4/7/2008,02:04:00
24/5/2007,19:25:00
23/9/2009,00:06:00
17/1/2009,05:08:00
11/5/2008,10:40:00
25/2/2007,16:59:00
6/7/2009,17:58:00
3/3/2008,05:38:00
7/1/2009,19:37:00
1/3/2010,22:32:00
10/4/2008,22:27:00
16/3/2007,04:07:00
24/5/2007,23:17:00
29/1/2010,10:18:00
4/5/2008,08:54:00
6/12/2009,17:31:00
6/4/2010,11:55:00
21/1/2009,12:45:00
21/5/2009,15:43:00
2/10/2007,23:19:00
2/11/2008,11:55:00
7/7/2008,13:09:00
30/3/2010,14:13:00
17/2/2008,23:28:00
4/3/2009,02:07:00
25/10/2009,21:37:00
9/5/2009,03:04:00
14/5/2008,14:59:00
25/9/2010,02:50:00
4/6/2007,21:43:00
20/3/2010,10:39:00
28/12/2008,09:20:00
28/3/2008,13:48:00
17/9/2010,07:57:00
21/8/2009,09:01:00
14/6/2008,14:04:00
4/4/2008,23:37:00
20/9/2010,16:15:00
6/4/2010,08:14:00
17/1/2009,23:07:00
28/3/2008,10:56:00
2/12/2009,21:59:00
26/6/2010,20:53:00
10/1/2008,21:54:00
15/8/2007,07:11:00
11/8/2007,07:09:00
5/3/2010,22:26:00
8/1/2009,16:01:00
11/10/2009,07:39:00
8/1/2009,16:34:00
20/2/2007,11:11:00
12/9/2010,13:23:00
11/11/2007,17:38:00
19/12/2009,12:08:00
19/8/2007,11:51:00
23/2/2008,23:20:00
4/9/2008,18:42:00
23/6/2010,08:20:00
21/2/2009,14:52:00
5/2/2009,15:34:00
24/4/2008,16:46:00
20/10/2009,15:34:00
26/1/2007,10:10:00
30/5/2009,09:15:00
16/9/2009,01:27:00
11/3/2008,02:32:00
28/1/2010,02:18:00
23/10/2009,05:06:00
3/8/2007,13:13:00
5/8/2008,15:27:00
15/8/2010,18:03:00
28/5/2008,21:37:00
29/11/2009,10:59:00
12/12/2009,20:33:00
12/11/2007,15:43:00
23/2/2010,20:43:00
21/6/2009,04:19:00
17/10/2007,21:53:00
29/6/2008,13:30:00
15/11/2008,10:59:00
21/11/2007,12:54:00
10/4/2008,10:25:00
30/3/2010,18:55:00
30/1/2009,07:51:00
2/7/2009,23:03:00
3/5/2010,12:47:00
17/1/2008,14:34:00
24/9/2007,03:13:00
13/9/2009,09:42:00
21/11/2007,20:43:00
15/2/2010,23:27:00
17/9/2009,06:50:00
8/10/2008,22:38:00
28/4/2010,09:46:00
17/3/2010,02:04:00
17/1/2009,18:46:00
18/6/2007,05:31:00
16/7/2008,22:50:00
12/5/2007,08:11:00
7/9/2009,06:56:00
12/8/2009,05:03:00
2/7/2007,00:00:00
16/5/2010,23:57:00
1/9/2008,10:14:00
9/7/2007,19:20:00
15/1/2007,20:14:00
20/5/2010,07:42:00
12/10/2009,08:34:00
7/2/2007,03:43:00
22/9/2009,06:22:00
14/1/2010,13:14:00
7/3/2008,01:58:00
6/2/2010,11:22:00
1/9/2008,05:54:00
6/3/2007,11:52:00
28/7/2009,01:44:00
21/5/2007,00:00:00
28/3/2009,23:41:00
7/10/2007,16:20:00
6/4/2008,11:22:00
27/12/2008,23:53:00
10/12/2007,18:28:00
3/6/2007,04:45:00
30/6/2007,03:27:00
19/5/2009,05:04:00
9/3/2010,13:44:00
23/8/2008,13:13:00
19/9/2010,23:25:00
28/12/2007,07:16:00
6/2/2010,12:31:00
19/12/2009,14:51:00
22/5/2008,03:47:00
18/8/2009,13:17:00
13/11/2009,07:00:00
4/1/2007,15:27:00
6/2/2009,05:11:00
